uniqueid,TrumpApproveFlag,LikelyConsiderFlag,LeanConsiderFlag,LeanNotConsiderFlag,LikelyNotConsiderFlag,TurnoutTargetsFlag,onlineact,offlineact,cc,PotentialActivist,Turnout_Score
30499241-5440-49EA-8,1,0,0,0,0,1,1,NA,NA,0,0.15607148362323642
D15606A2-295F-462E-A,1,0,0,0,0,1,0,NA,NA,0,0.0464030597358942
7C8F12E2-86B6-4C56-A,1,0,0,0,0,1,0,NA,NA,0,0.09964539832435548
EE5B5440-564C-4341-9,1,0,0,0,0,1,0,NA,NA,0,0.4682533994782716
4C91439F-2FCD-43AD-B,1,0,0,0,0,1,0,NA,NA,0,0.9874452356016263
E818D8C8-4A25-40EA-8,1,0,0,0,0,1,0,NA,NA,0,0.7549234556499869
9B482510-C0CA-44DE-A,1,0,0,0,0,1,0,NA,NA,0,0.7917181968223304
37BDFB61-97FD-4618-9,1,0,0,0,0,1,0,NA,NA,0,0.8012425953056663
9894890D-A9BA-4A49-A,1,0,0,0,0,1,0,NA,NA,0,0.907994857057929
17D1ED49-7E26-4850-B,1,0,0,0,0,1,1,NA,1,0,0.7281703627668321
CA085433-FCA2-4864-9,1,0,0,0,0,1,1,1,NA,0,0.06778987473808229
A6B3EAD5-4ABB-4FF6-8,1,0,0,0,0,1,0,NA,NA,0,0.2062105042859912
ABBB2AC8-D142-4E14-8,1,0,0,0,0,1,1,1,NA,0,0.6988445237511769
DC881917-3237-4DEB-B,1,0,0,0,0,1,0,NA,NA,0,0.7352622994221747
88623FAB-917E-4D5E-A,1,0,0,0,0,1,0,NA,NA,0,1.1157869228627533
D3860109-84AD-46F3-8,1,0,0,0,0,1,0,NA,NA,0,1.1088026908691972
C1F542CC-D7DE-48F7-9,1,0,0,0,0,1,1,NA,NA,0,0.1193861470092088
C9AF38D2-ABD6-4EAF-8,1,0,0,0,0,1,0,1,1,0,0.6848928773542866
F7D5B93A-51CF-409A-8,1,0,0,0,0,1,0,NA,NA,0,0.4369237006176263
39FD8240-90DB-4D15-9,1,0,0,0,0,1,1,1,1,0,0.973560749553144
C526ECAF-E04E-4FBA-9,1,0,0,0,0,1,1,1,NA,0,0.16200165008194745
CB5884CE-DF97-4D22-9,1,0,0,0,0,1,1,NA,NA,0,0.8134823658037931
1C3CE515-A7E2-40A7-A,1,0,0,0,0,1,1,NA,NA,0,0.4005098082125187
FEA34C46-94EC-42C8-A,1,0,0,0,0,1,0,NA,NA,0,0.8318683885736391
2C31BFEE-19E9-4501-8,1,0,0,0,0,1,1,NA,NA,0,0.5056655604857951
E9467DC2-3D40-44F0-A,1,0,0,0,0,1,0,NA,NA,0,0.7976931242737919
03531B4B-F60C-428B-8,1,0,0,0,0,1,0,NA,NA,0,0.06028942344710231
AAB42398-085F-41EC-B,1,0,0,0,0,1,1,NA,NA,0,0.0523183923214674
253E9DA3-360C-4ACB-9,1,0,0,0,0,1,0,NA,NA,0,0.9690813845954835
AD4CB5FA-2515-40C2-A,1,0,0,0,0,1,0,NA,NA,0,1.0105652905767784
77A1CF96-9A1B-4DEE-8,1,0,0,0,0,1,0,1,NA,0,0.8636298207566142
72B65383-C46A-49CC-9,1,0,0,0,0,1,1,NA,NA,0,0.9836426195688546
4FF33041-0A28-4977-9,1,0,0,0,0,1,0,NA,NA,0,1.0631046899361536
502142AD-620C-4251-9,1,0,0,0,0,1,0,NA,NA,0,0.7701480693649501
025C17D6-9E9F-4363-B,1,0,0,0,0,1,0,NA,NA,0,0.543823919724673
8DF89C3E-E5F9-4E39-B,1,0,0,0,0,1,0,NA,NA,0,0.22052085842005908
5E25F0AC-72A8-4150-9,1,0,0,0,0,1,0,NA,NA,0,0.6478082545800135
A3A329FE-C047-4B2A-9,1,0,0,0,0,1,0,NA,NA,0,0.6045755693921819
590E2F79-68C6-4208-9,1,0,0,0,0,1,1,NA,1,0,0.8136330698616803
EB12F5D7-16B1-4BFF-B,1,0,0,0,0,1,1,NA,1,0,0.8308785932604223
4CF6017C-BA9D-46D7-9,0,0,0,0,0,1,0,NA,NA,0,0.7571478226454929
75C8419A-BA00-40B7-B,1,0,0,0,0,1,0,NA,NA,0,0.8079541437327862
39B123F0-20CB-4A9D-8,1,0,0,0,0,1,0,NA,NA,0,0.05687454296275973
5009D820-F420-4424-B,1,0,0,0,0,1,0,NA,NA,0,0.7178567672381178
0C66E10D-F8BE-4FC6-A,1,0,0,0,0,1,0,NA,NA,0,0.9755419760476798
AE1062CB-6541-40E1-9,0,0,0,0,0,1,0,NA,NA,0,0.9944357700878754
490E5947-1273-4D12-A,1,0,0,0,0,1,0,NA,NA,0,0.5009770269971341
6251770C-3FC0-4A65-9,1,0,0,0,0,1,0,NA,NA,0,0.9647154191043228
DAD08746-6212-4367-A,0,0,0,0,0,1,0,NA,1,0,0.6049807684030384
6D96B041-4CC4-48DB-9,1,0,0,0,0,1,0,NA,NA,0,0.7848768415860832
B31476A5-799B-4865-8,1,0,0,0,0,1,0,NA,NA,0,0.9504650960443541
6B0E8086-8616-4088-8,1,0,0,0,0,1,0,NA,NA,0,0.9155992555897683
433328AF-D829-40BC-B,1,0,0,0,0,1,1,NA,1,0,1.0321468856418505
DBBC1427-D5E4-40F1-8,1,0,0,0,0,1,0,NA,NA,0,0.10321264201775193
ECCD6117-FBF6-4AD9-8,1,0,0,0,0,1,0,NA,NA,0,0.7034387311432511
F77C3F87-81E6-4A6F-8,1,0,0,0,0,1,0,1,1,0,0.6854875150602311
E7FD409E-E549-4218-9,1,0,0,0,0,1,1,NA,1,0,0.13731597806327045
63F384D8-4501-4D4C-9,1,0,0,0,0,1,0,NA,NA,0,0.5188591674668714
E0EF11D8-BF73-43BB-8,1,0,0,0,0,1,1,NA,1,0,0.24889280227944255
A674A9F8-736E-4CB8-9,1,0,0,0,0,1,0,1,1,0,0.5701687876135111
E9763B49-5F6A-412D-A,1,0,0,0,0,1,0,1,NA,0,0.7903239573352039
A51C6F57-CBE7-46D3-A,1,0,0,0,0,1,0,NA,NA,0,0.014483950799331069
99D4A9D2-DA77-4206-9,1,0,0,0,0,1,1,1,NA,0,0.8179429199080914
2511881E-9C6D-4C7E-A,1,0,0,0,0,1,0,NA,NA,0,0.09996851324103773
5A454985-6B5F-45CC-8,1,0,0,0,0,1,1,1,NA,0,0.1934258583933115
FA528AAA-6460-4798-8,1,0,0,0,0,1,0,NA,1,0,1.0089950195979327
54F514AC-9FCF-4D59-A,1,0,0,0,0,1,0,1,NA,0,0.7632301531266421
E4A92DC3-F052-4DEF-B,1,0,0,0,0,1,0,NA,NA,0,0.5464641018770635
8EF21D90-89CF-4702-A,1,0,0,0,0,1,1,NA,NA,0,0.5289556731004268
C6D75E7D-7936-4083-A,1,0,0,0,0,1,1,NA,NA,0,0.85189739393536
196E24BE-036C-4D01-8,1,0,0,0,0,1,1,NA,1,0,0.5435727151343599
399106E5-87F1-48D5-B,1,0,0,0,0,1,0,NA,NA,0,0.7175054230028763
63A86C2C-37AC-410F-9,1,0,0,0,0,1,1,NA,NA,0,0.7723828407470137
28A115D9-9EC7-4B61-8,1,0,0,0,0,1,1,NA,NA,0,0.882414135383442
2CF8E4D8-8F66-4B5C-8,1,0,0,0,0,1,0,NA,NA,0,1.0935563411330804
83CBEA1F-C088-403D-B,1,0,0,0,0,1,0,NA,NA,0,0.7517349817790091
76DA92A2-39A1-4181-A,1,0,0,0,0,1,1,1,NA,0,0.035768372006714344
6450AEBD-049F-46DC-B,1,0,0,0,0,1,0,NA,NA,0,0.5297992205014452
F47DB260-FB5C-4DE4-9,1,0,0,0,0,1,0,NA,NA,0,0.07945491163991392
36BD8FBB-CD69-4F4E-8,0,0,0,0,0,1,0,NA,NA,0,0.5120636631036177
8C3F9316-87C2-4A14-8,1,0,0,0,0,1,1,NA,NA,0,0.45380425499752164
B383A197-7434-427E-B,1,0,0,0,0,1,0,NA,NA,0,0.022184337489306927
E71DCEB4-FCFC-46A0-A,1,0,0,0,0,1,0,1,NA,0,0.14100640383549035
4FE63D6D-DE9C-4C8E-B,1,0,0,0,0,1,0,NA,NA,0,0.7015493474900723
21E10532-DFD0-47AC-A,1,0,0,0,0,1,0,NA,NA,0,1.012524546124041
9DD8B3E8-B1E9-4BB7-9,1,0,0,0,0,1,0,NA,NA,0,0.849467761348933
A890A7B1-4332-4DF7-A,1,0,0,0,0,1,0,NA,NA,0,0.6550761158578098
809E2F65-AED7-49CC-8,1,0,0,0,0,1,0,NA,NA,0,0.9496071476023644
BF13B608-60AE-4A65-B,1,0,0,0,0,1,1,NA,NA,0,0.3917573334183544
81FD1B2F-B7DC-418A-9,1,0,0,0,0,1,1,1,1,0,0.772219491424039
8600F793-C13F-4B37-A,0,0,0,0,0,1,0,NA,NA,0,0.7993207660038024
749ED5CE-83EA-4DFD-9,1,0,0,0,0,1,0,NA,NA,0,0.5160251576453447
